model,regYear,regMonth,carCommentVolum,newsReplyVolum
12f8b7e14947c34d,2017,11,607,6000
12f8b7e14947c34d,2017,12,601,838
17363f08d683d52b,2016,1,20,23
17363f08d683d52b,2016,2,22,14
17363f08d683d52b,2016,3,16,10
17363f08d683d52b,2016,4,17,27
17363f08d683d52b,2016,5,20,131
17363f08d683d52b,2016,6,20,55
17363f08d683d52b,2016,7,22,9
17363f08d683d52b,2016,8,38,11
17363f08d683d52b,2016,9,25,30
17363f08d683d52b,2016,10,29,26
17363f08d683d52b,2016,11,25,307
17363f08d683d52b,2016,12,26,8
17363f08d683d52b,2017,1,17,14
17363f08d683d52b,2017,2,24,19
17363f08d683d52b,2017,3,54,17
17363f08d683d52b,2017,4,13,2230
17363f08d683d52b,2017,5,8,611
17363f08d683d52b,2017,6,11,744
17363f08d683d52b,2017,7,82,690
17363f08d683d52b,2017,8,24,124
17363f08d683d52b,2017,9,28,9
17363f08d683d52b,2017,10,21,1167
17363f08d683d52b,2017,11,87,8006
17363f08d683d52b,2017,12,201,3302
17bc272c93f19d56,2016,1,0,0
17bc272c93f19d56,2016,2,0,0
17bc272c93f19d56,2016,3,0,0
17bc272c93f19d56,2016,4,1,0
17bc272c93f19d56,2016,5,0,0
17bc272c93f19d56,2016,6,4,0
17bc272c93f19d56,2016,7,0,0
17bc272c93f19d56,2016,8,2,0
17bc272c93f19d56,2016,9,1,0
17bc272c93f19d56,2016,10,1,0
17bc272c93f19d56,2016,11,5,0
17bc272c93f19d56,2016,12,0,0
17bc272c93f19d56,2017,1,2,0
17bc272c93f19d56,2017,2,4,0
17bc272c93f19d56,2017,3,11,0
17bc272c93f19d56,2017,4,12,3786
17bc272c93f19d56,2017,5,12,2336
17bc272c93f19d56,2017,6,15,564
17bc272c93f19d56,2017,7,16,1498
17bc272c93f19d56,2017,8,30,3824
17bc272c93f19d56,2017,9,45,369
17bc272c93f19d56,2017,10,65,3907
17bc272c93f19d56,2017,11,67,3403
17bc272c93f19d56,2017,12,63,304
212083a9246d2fd3,2016,1,65,469
212083a9246d2fd3,2016,2,53,675
212083a9246d2fd3,2016,3,74,1784
212083a9246d2fd3,2016,4,109,1422
212083a9246d2fd3,2016,5,280,676
212083a9246d2fd3,2016,6,223,33
212083a9246d2fd3,2016,7,325,23
212083a9246d2fd3,2016,8,401,25
212083a9246d2fd3,2016,9,263,22
212083a9246d2fd3,2016,10,246,27
212083a9246d2fd3,2016,11,229,876
212083a9246d2fd3,2016,12,302,21
212083a9246d2fd3,2017,1,167,13
212083a9246d2fd3,2017,2,174,224
212083a9246d2fd3,2017,3,161,20
212083a9246d2fd3,2017,4,110,22
212083a9246d2fd3,2017,5,438,196
212083a9246d2fd3,2017,6,173,727
212083a9246d2fd3,2017,7,299,152
212083a9246d2fd3,2017,8,176,21
212083a9246d2fd3,2017,9,166,293
212083a9246d2fd3,2017,10,279,263
212083a9246d2fd3,2017,11,383,68
212083a9246d2fd3,2017,12,281,33
28e29f2c03dcd84c,2016,1,6,10690
28e29f2c03dcd84c,2016,2,7,2598
28e29f2c03dcd84c,2016,3,24,4355
28e29f2c03dcd84c,2016,4,14,258
28e29f2c03dcd84c,2016,5,19,216
28e29f2c03dcd84c,2016,6,49,1534
28e29f2c03dcd84c,2016,7,35,1175
28e29f2c03dcd84c,2016,8,81,3635
28e29f2c03dcd84c,2016,9,99,1034
28e29f2c03dcd84c,2016,10,81,2342
28e29f2c03dcd84c,2016,11,111,1756
28e29f2c03dcd84c,2016,12,115,162
28e29f2c03dcd84c,2017,1,83,68
28e29f2c03dcd84c,2017,2,193,2569
28e29f2c03dcd84c,2017,3,232,103
28e29f2c03dcd84c,2017,4,231,478
28e29f2c03dcd84c,2017,5,279,1707
28e29f2c03dcd84c,2017,6,176,994
28e29f2c03dcd84c,2017,7,291,972
28e29f2c03dcd84c,2017,8,317,206
28e29f2c03dcd84c,2017,9,401,2894
28e29f2c03dcd84c,2017,10,322,657
28e29f2c03dcd84c,2017,11,280,199
28e29f2c03dcd84c,2017,12,222,1543
2a2ab41f8f6ff1cb,2016,1,29,3278
2a2ab41f8f6ff1cb,2016,2,15,341
2a2ab41f8f6ff1cb,2016,3,24,5852
2a2ab41f8f6ff1cb,2016,4,37,4019
2a2ab41f8f6ff1cb,2016,5,54,3900
2a2ab41f8f6ff1cb,2016,6,126,6853
2a2ab41f8f6ff1cb,2016,7,200,4097
2a2ab41f8f6ff1cb,2016,8,168,4936
2a2ab41f8f6ff1cb,2016,9,110,2589
2a2ab41f8f6ff1cb,2016,10,77,4435
2a2ab41f8f6ff1cb,2016,11,142,4102
2a2ab41f8f6ff1cb,2016,12,231,1556
2a2ab41f8f6ff1cb,2017,1,159,2603
2a2ab41f8f6ff1cb,2017,2,247,2053
2a2ab41f8f6ff1cb,2017,3,289,1668
2a2ab41f8f6ff1cb,2017,4,221,4086
2a2ab41f8f6ff1cb,2017,5,251,2508
2a2ab41f8f6ff1cb,2017,6,255,1687
2a2ab41f8f6ff1cb,2017,7,218,4006
2a2ab41f8f6ff1cb,2017,8,461,3765
2a2ab41f8f6ff1cb,2017,9,482,2960
2a2ab41f8f6ff1cb,2017,10,428,3676
2a2ab41f8f6ff1cb,2017,11,252,1902
2a2ab41f8f6ff1cb,2017,12,212,3283
2d0d2c3403909fdb,2016,1,59,698
2d0d2c3403909fdb,2016,2,82,2257
2d0d2c3403909fdb,2016,3,144,472
2d0d2c3403909fdb,2016,4,167,1335
2d0d2c3403909fdb,2016,5,214,796
2d0d2c3403909fdb,2016,6,192,142
2d0d2c3403909fdb,2016,7,156,111
2d0d2c3403909fdb,2016,8,261,677
2d0d2c3403909fdb,2016,9,246,18148
2d0d2c3403909fdb,2016,10,248,2281
2d0d2c3403909fdb,2016,11,248,2921
2d0d2c3403909fdb,2016,12,447,596
2d0d2c3403909fdb,2017,1,430,173
2d0d2c3403909fdb,2017,2,643,4958
2d0d2c3403909fdb,2017,3,527,1193
2d0d2c3403909fdb,2017,4,419,2170
2d0d2c3403909fdb,2017,5,741,4198
2d0d2c3403909fdb,2017,6,923,8590
2d0d2c3403909fdb,2017,7,865,938
2d0d2c3403909fdb,2017,8,1084,265
2d0d2c3403909fdb,2017,9,992,119
2d0d2c3403909fdb,2017,10,867,706
2d0d2c3403909fdb,2017,11,694,2593
2d0d2c3403909fdb,2017,12,599,298
346393c2c6305fb1,2016,1,83,5664
346393c2c6305fb1,2016,2,69,147
346393c2c6305fb1,2016,3,110,1533
346393c2c6305fb1,2016,4,80,2958
346393c2c6305fb1,2016,5,142,4568
346393c2c6305fb1,2016,6,300,675
346393c2c6305fb1,2016,7,169,72
346393c2c6305fb1,2016,8,292,49
346393c2c6305fb1,2016,9,477,1569
346393c2c6305fb1,2016,10,112,55
346393c2c6305fb1,2016,11,89,15
346393c2c6305fb1,2016,12,114,24
346393c2c6305fb1,2017,1,86,695
346393c2c6305fb1,2017,2,59,30
346393c2c6305fb1,2017,3,80,28
346393c2c6305fb1,2017,4,54,219
346393c2c6305fb1,2017,5,65,21
346393c2c6305fb1,2017,6,71,25
346393c2c6305fb1,2017,7,86,335
346393c2c6305fb1,2017,8,197,289
346393c2c6305fb1,2017,9,109,199
346393c2c6305fb1,2017,10,127,293
346393c2c6305fb1,2017,11,99,52
346393c2c6305fb1,2017,12,90,255
37aa9169b575ef79,2016,1,90,1900
37aa9169b575ef79,2016,2,132,2093
37aa9169b575ef79,2016,3,233,1716
37aa9169b575ef79,2016,4,203,2721
37aa9169b575ef79,2016,5,198,3021
37aa9169b575ef79,2016,6,252,3803
37aa9169b575ef79,2016,7,251,3733
37aa9169b575ef79,2016,8,277,3573
37aa9169b575ef79,2016,9,199,2940
37aa9169b575ef79,2016,10,181,2967
37aa9169b575ef79,2016,11,252,7589
37aa9169b575ef79,2016,12,113,3899
37aa9169b575ef79,2017,1,126,972
37aa9169b575ef79,2017,2,210,2593
37aa9169b575ef79,2017,3,345,210
37aa9169b575ef79,2017,4,215,98
37aa9169b575ef79,2017,5,287,3567
37aa9169b575ef79,2017,6,251,1471
37aa9169b575ef79,2017,7,243,3128
37aa9169b575ef79,2017,8,409,4264
37aa9169b575ef79,2017,9,544,1014
37aa9169b575ef79,2017,10,457,1948
37aa9169b575ef79,2017,11,348,1392
37aa9169b575ef79,2017,12,336,1834
3c974920a76ac9c1,2016,1,11,106
3c974920a76ac9c1,2016,2,6,2255
3c974920a76ac9c1,2016,3,13,861
3c974920a76ac9c1,2016,4,16,105
3c974920a76ac9c1,2016,5,28,2107
3c974920a76ac9c1,2016,6,30,2957
3c974920a76ac9c1,2016,7,37,13106
3c974920a76ac9c1,2016,8,74,1100
3c974920a76ac9c1,2016,9,221,882
3c974920a76ac9c1,2016,10,216,2543
3c974920a76ac9c1,2016,11,150,1228
3c974920a76ac9c1,2016,12,117,2113
3c974920a76ac9c1,2017,1,158,1737
3c974920a76ac9c1,2017,2,187,1562
3c974920a76ac9c1,2017,3,186,993
3c974920a76ac9c1,2017,4,148,2259
3c974920a76ac9c1,2017,5,194,1623
3c974920a76ac9c1,2017,6,175,788
3c974920a76ac9c1,2017,7,149,414
3c974920a76ac9c1,2017,8,328,654
3c974920a76ac9c1,2017,9,252,1283
3c974920a76ac9c1,2017,10,214,292
3c974920a76ac9c1,2017,11,148,3142
3c974920a76ac9c1,2017,12,129,272
3d7554f1f56dd664,2016,1,43,3996
3d7554f1f56dd664,2016,2,31,2668
3d7554f1f56dd664,2016,3,35,1652
3d7554f1f56dd664,2016,4,55,5836
3d7554f1f56dd664,2016,5,76,2333
3d7554f1f56dd664,2016,6,108,3230
3d7554f1f56dd664,2016,7,133,6191
3d7554f1f56dd664,2016,8,151,4003
3d7554f1f56dd664,2016,9,198,4708
3d7554f1f56dd664,2016,10,187,5718
3d7554f1f56dd664,2016,11,404,2511
3d7554f1f56dd664,2016,12,613,3801
3d7554f1f56dd664,2017,1,513,3578
3d7554f1f56dd664,2017,2,714,3722
3d7554f1f56dd664,2017,3,614,2171
3d7554f1f56dd664,2017,4,596,6456
3d7554f1f56dd664,2017,5,801,1930
3d7554f1f56dd664,2017,6,1157,2628
3d7554f1f56dd664,2017,7,851,3419
3d7554f1f56dd664,2017,8,1284,3641
3d7554f1f56dd664,2017,9,1113,2587
3d7554f1f56dd664,2017,10,1070,1858
3d7554f1f56dd664,2017,11,961,1597
3d7554f1f56dd664,2017,12,748,1920
3e21824be728cbec,2016,1,79,1763
3e21824be728cbec,2016,2,69,799
3e21824be728cbec,2016,3,110,2245
3e21824be728cbec,2016,4,119,2892
3e21824be728cbec,2016,5,166,767
3e21824be728cbec,2016,6,189,4896
3e21824be728cbec,2016,7,236,2023
3e21824be728cbec,2016,8,265,5675
3e21824be728cbec,2016,9,302,1394
3e21824be728cbec,2016,10,271,1018
3e21824be728cbec,2016,11,461,1027
3e21824be728cbec,2016,12,408,570
3e21824be728cbec,2017,1,410,1812
3e21824be728cbec,2017,2,432,416
3e21824be728cbec,2017,3,521,1485
3e21824be728cbec,2017,4,489,2628
3e21824be728cbec,2017,5,609,2803
3e21824be728cbec,2017,6,538,3971
3e21824be728cbec,2017,7,712,933
3e21824be728cbec,2017,8,922,228
3e21824be728cbec,2017,9,877,977
3e21824be728cbec,2017,10,848,702
3e21824be728cbec,2017,11,663,1574
3e21824be728cbec,2017,12,631,407
4a103c30d593fbbe,2016,1,324,3116
4a103c30d593fbbe,2016,2,307,868
4a103c30d593fbbe,2016,3,536,2640
4a103c30d593fbbe,2016,4,387,3192
4a103c30d593fbbe,2016,5,370,7637
4a103c30d593fbbe,2016,6,464,4314
4a103c30d593fbbe,2016,7,444,6210
4a103c30d593fbbe,2016,8,868,2731
4a103c30d593fbbe,2016,9,825,4489
4a103c30d593fbbe,2016,10,1286,3498
4a103c30d593fbbe,2016,11,1181,4226
4a103c30d593fbbe,2016,12,1101,2452
4a103c30d593fbbe,2017,1,630,2078
4a103c30d593fbbe,2017,2,772,1876
4a103c30d593fbbe,2017,3,956,4979
4a103c30d593fbbe,2017,4,736,1600
4a103c30d593fbbe,2017,5,823,1503
4a103c30d593fbbe,2017,6,705,2413
4a103c30d593fbbe,2017,7,725,4807
4a103c30d593fbbe,2017,8,1513,2341
4a103c30d593fbbe,2017,9,2232,974
4a103c30d593fbbe,2017,10,1470,2649
4a103c30d593fbbe,2017,11,1878,1440
4a103c30d593fbbe,2017,12,1172,4749
4f79773e600518a6,2016,1,30,4
4f79773e600518a6,2016,2,54,4
4f79773e600518a6,2016,3,76,303
4f79773e600518a6,2016,4,39,22
4f79773e600518a6,2016,5,52,20
4f79773e600518a6,2016,6,48,492
4f79773e600518a6,2016,7,65,11
4f79773e600518a6,2016,8,186,11
4f79773e600518a6,2016,9,83,487
4f79773e600518a6,2016,10,205,36
4f79773e600518a6,2016,11,226,24
4f79773e600518a6,2016,12,51,5
4f79773e600518a6,2017,1,38,22
4f79773e600518a6,2017,2,40,16
4f79773e600518a6,2017,3,26,10
4f79773e600518a6,2017,4,32,3
4f79773e600518a6,2017,5,35,1
4f79773e600518a6,2017,6,34,3
4f79773e600518a6,2017,7,26,2
4f79773e600518a6,2017,8,17,2
4f79773e600518a6,2017,9,39,5
4f79773e600518a6,2017,10,32,1
4f79773e600518a6,2017,11,39,2896
4f79773e600518a6,2017,12,19,682
54fc07138d70374c,2016,1,24,473
54fc07138d70374c,2016,2,10,70
54fc07138d70374c,2016,3,17,74
54fc07138d70374c,2016,4,22,3595
54fc07138d70374c,2016,5,24,8159
54fc07138d70374c,2016,6,51,491
54fc07138d70374c,2016,7,33,3212
54fc07138d70374c,2016,8,46,250
54fc07138d70374c,2016,9,80,1317
54fc07138d70374c,2016,10,69,2264
54fc07138d70374c,2016,11,44,2802
54fc07138d70374c,2016,12,132,890
54fc07138d70374c,2017,1,77,438
54fc07138d70374c,2017,2,90,4988
54fc07138d70374c,2017,3,127,2566
54fc07138d70374c,2017,4,134,1463
54fc07138d70374c,2017,5,217,1923
54fc07138d70374c,2017,6,192,469
54fc07138d70374c,2017,7,159,642
54fc07138d70374c,2017,8,267,1314
54fc07138d70374c,2017,9,223,1024
54fc07138d70374c,2017,10,224,2271
54fc07138d70374c,2017,11,199,2541
54fc07138d70374c,2017,12,344,1814
5b1c11c3efed5312,2016,1,35,283
5b1c11c3efed5312,2016,2,20,40
5b1c11c3efed5312,2016,3,41,168
5b1c11c3efed5312,2016,4,24,742
5b1c11c3efed5312,2016,5,37,78
5b1c11c3efed5312,2016,6,61,27
5b1c11c3efed5312,2016,7,89,766
5b1c11c3efed5312,2016,8,42,40
5b1c11c3efed5312,2016,9,61,2288
5b1c11c3efed5312,2016,10,62,1707
5b1c11c3efed5312,2016,11,47,1174
5b1c11c3efed5312,2016,12,38,23
5b1c11c3efed5312,2017,1,36,26
5b1c11c3efed5312,2017,2,30,28
5b1c11c3efed5312,2017,3,19,32
5b1c11c3efed5312,2017,4,56,8
5b1c11c3efed5312,2017,5,35,392
5b1c11c3efed5312,2017,6,28,403
5b1c11c3efed5312,2017,7,21,783
5b1c11c3efed5312,2017,8,33,4616
5b1c11c3efed5312,2017,9,57,440
5b1c11c3efed5312,2017,10,61,30
5b1c11c3efed5312,2017,11,66,131
5b1c11c3efed5312,2017,12,53,17
5d7fb682edd0f937,2016,1,72,10
5d7fb682edd0f937,2016,2,87,8
5d7fb682edd0f937,2016,3,77,3
5d7fb682edd0f937,2016,4,129,4
5d7fb682edd0f937,2016,5,101,11
5d7fb682edd0f937,2016,6,154,0
5d7fb682edd0f937,2016,7,171,0
5d7fb682edd0f937,2016,8,248,0
5d7fb682edd0f937,2016,9,235,748
5d7fb682edd0f937,2016,10,77,1672
5d7fb682edd0f937,2016,11,221,1155
5d7fb682edd0f937,2016,12,135,124
5d7fb682edd0f937,2017,1,90,707
5d7fb682edd0f937,2017,2,76,21
5d7fb682edd0f937,2017,3,88,478
5d7fb682edd0f937,2017,4,97,1224
5d7fb682edd0f937,2017,5,292,87
5d7fb682edd0f937,2017,6,199,69
5d7fb682edd0f937,2017,7,147,58
5d7fb682edd0f937,2017,8,194,22
5d7fb682edd0f937,2017,9,140,2
5d7fb682edd0f937,2017,10,104,5
5d7fb682edd0f937,2017,11,58,701
5d7fb682edd0f937,2017,12,62,875
6155b214590c66e6,2016,1,12,3219
6155b214590c66e6,2016,2,7,3888
6155b214590c66e6,2016,3,32,7684
6155b214590c66e6,2016,4,43,4471
6155b214590c66e6,2016,5,68,2413
6155b214590c66e6,2016,6,86,7946
6155b214590c66e6,2016,7,76,4380
6155b214590c66e6,2016,8,121,9133
6155b214590c66e6,2016,9,133,5786
6155b214590c66e6,2016,10,139,7151
6155b214590c66e6,2016,11,163,8885
6155b214590c66e6,2016,12,165,3283
6155b214590c66e6,2017,1,136,3337
6155b214590c66e6,2017,2,215,9839
6155b214590c66e6,2017,3,277,4686
6155b214590c66e6,2017,4,273,14073
6155b214590c66e6,2017,5,809,3040
6155b214590c66e6,2017,6,842,3429
6155b214590c66e6,2017,7,827,4849
6155b214590c66e6,2017,8,891,5774
6155b214590c66e6,2017,9,1014,2317
6155b214590c66e6,2017,10,796,8807
6155b214590c66e6,2017,11,677,15562
6155b214590c66e6,2017,12,647,4899
61e73e32ad101892,2016,1,72,3255
61e73e32ad101892,2016,2,78,2493
61e73e32ad101892,2016,3,146,1917
61e73e32ad101892,2016,4,90,1103
61e73e32ad101892,2016,5,82,2737
61e73e32ad101892,2016,6,103,1792
61e73e32ad101892,2016,7,135,2411
61e73e32ad101892,2016,8,242,1502
61e73e32ad101892,2016,9,206,1256
61e73e32ad101892,2016,10,249,70
61e73e32ad101892,2016,11,207,961
61e73e32ad101892,2016,12,119,2767
61e73e32ad101892,2017,1,286,1932
61e73e32ad101892,2017,2,289,550
61e73e32ad101892,2017,3,224,3250
61e73e32ad101892,2017,4,208,3120
61e73e32ad101892,2017,5,455,2049
61e73e32ad101892,2017,6,228,386
61e73e32ad101892,2017,7,250,1865
61e73e32ad101892,2017,8,548,1679
61e73e32ad101892,2017,9,551,1498
61e73e32ad101892,2017,10,631,270
61e73e32ad101892,2017,11,291,2571
61e73e32ad101892,2017,12,184,222
63065128401bb3ff,2016,1,11,3702
63065128401bb3ff,2016,2,17,4739
63065128401bb3ff,2016,3,38,2704
63065128401bb3ff,2016,4,39,1732
63065128401bb3ff,2016,5,80,4434
63065128401bb3ff,2016,6,61,1069
63065128401bb3ff,2016,7,107,3426
63065128401bb3ff,2016,8,88,2419
63065128401bb3ff,2016,9,98,2103
63065128401bb3ff,2016,10,94,2615
63065128401bb3ff,2016,11,111,2333
63065128401bb3ff,2016,12,132,2231
63065128401bb3ff,2017,1,87,2598
63065128401bb3ff,2017,2,112,4229
63065128401bb3ff,2017,3,225,1847
63065128401bb3ff,2017,4,137,1492
63065128401bb3ff,2017,5,224,1473
63065128401bb3ff,2017,6,232,1333
63065128401bb3ff,2017,7,230,3040
63065128401bb3ff,2017,8,432,3569
63065128401bb3ff,2017,9,466,3773
63065128401bb3ff,2017,10,337,1928
63065128401bb3ff,2017,11,333,1743
63065128401bb3ff,2017,12,355,4014
6858d6dfe680bdf7,2016,1,92,2372
6858d6dfe680bdf7,2016,2,86,4351
6858d6dfe680bdf7,2016,3,165,1688
6858d6dfe680bdf7,2016,4,204,946
6858d6dfe680bdf7,2016,5,276,2316
6858d6dfe680bdf7,2016,6,316,1501
6858d6dfe680bdf7,2016,7,265,1446
6858d6dfe680bdf7,2016,8,306,4380
6858d6dfe680bdf7,2016,9,483,10808
6858d6dfe680bdf7,2016,10,477,4152
6858d6dfe680bdf7,2016,11,600,2292
6858d6dfe680bdf7,2016,12,881,4157
6858d6dfe680bdf7,2017,1,824,186
6858d6dfe680bdf7,2017,2,1078,3703
6858d6dfe680bdf7,2017,3,1624,681
6858d6dfe680bdf7,2017,4,1224,653
6858d6dfe680bdf7,2017,5,1662,2310
6858d6dfe680bdf7,2017,6,1711,195
6858d6dfe680bdf7,2017,7,1747,5046
6858d6dfe680bdf7,2017,8,2361,4172
6858d6dfe680bdf7,2017,9,2779,6639
6858d6dfe680bdf7,2017,10,2834,527
6858d6dfe680bdf7,2017,11,2556,146
6858d6dfe680bdf7,2017,12,2191,715
7023efdab9cedc03,2016,1,12,54
7023efdab9cedc03,2016,2,11,53
7023efdab9cedc03,2016,3,13,23
7023efdab9cedc03,2016,4,33,258
7023efdab9cedc03,2016,5,55,748
7023efdab9cedc03,2016,6,55,43
7023efdab9cedc03,2016,7,53,24
7023efdab9cedc03,2016,8,53,369
7023efdab9cedc03,2016,9,92,55
7023efdab9cedc03,2016,10,87,13
7023efdab9cedc03,2016,11,80,18
7023efdab9cedc03,2016,12,170,2681
7023efdab9cedc03,2017,1,160,1413
7023efdab9cedc03,2017,2,233,1522
7023efdab9cedc03,2017,3,257,173
7023efdab9cedc03,2017,4,157,7515
7023efdab9cedc03,2017,5,173,5946
7023efdab9cedc03,2017,6,225,10360
7023efdab9cedc03,2017,7,221,11764
7023efdab9cedc03,2017,8,480,3125
7023efdab9cedc03,2017,9,542,4276
7023efdab9cedc03,2017,10,553,3051
7023efdab9cedc03,2017,11,451,1710
7023efdab9cedc03,2017,12,332,3924
7245e0ee27b195cd,2016,1,96,1699
7245e0ee27b195cd,2016,2,58,155
7245e0ee27b195cd,2016,3,495,1972
7245e0ee27b195cd,2016,4,390,116
7245e0ee27b195cd,2016,5,440,42
7245e0ee27b195cd,2016,6,367,24
7245e0ee27b195cd,2016,7,265,17
7245e0ee27b195cd,2016,8,401,19
7245e0ee27b195cd,2016,9,315,765
7245e0ee27b195cd,2016,10,274,1697
7245e0ee27b195cd,2016,11,357,3025
7245e0ee27b195cd,2016,12,418,58
7245e0ee27b195cd,2017,1,261,39
7245e0ee27b195cd,2017,2,253,28
7245e0ee27b195cd,2017,3,376,37
7245e0ee27b195cd,2017,4,279,11
7245e0ee27b195cd,2017,5,283,681
7245e0ee27b195cd,2017,6,174,1559
7245e0ee27b195cd,2017,7,224,1717
7245e0ee27b195cd,2017,8,278,251
7245e0ee27b195cd,2017,9,385,3547
7245e0ee27b195cd,2017,10,386,3992
7245e0ee27b195cd,2017,11,595,2078
7245e0ee27b195cd,2017,12,528,173
79de4e4b24c35b04,2016,1,95,3476
79de4e4b24c35b04,2016,2,84,2045
79de4e4b24c35b04,2016,3,120,3704
79de4e4b24c35b04,2016,4,119,2272
79de4e4b24c35b04,2016,5,146,2709
79de4e4b24c35b04,2016,6,119,2707
79de4e4b24c35b04,2016,7,202,6137
79de4e4b24c35b04,2016,8,419,6939
79de4e4b24c35b04,2016,9,167,1994
79de4e4b24c35b04,2016,10,167,1262
79de4e4b24c35b04,2016,11,186,986
79de4e4b24c35b04,2016,12,235,1863
79de4e4b24c35b04,2017,1,176,5664
79de4e4b24c35b04,2017,2,366,3309
79de4e4b24c35b04,2017,3,587,1947
79de4e4b24c35b04,2017,4,255,3021
79de4e4b24c35b04,2017,5,319,1510
79de4e4b24c35b04,2017,6,258,2768
